OBJECTID *,Shape *,AIN,APN,AgencyClassNo,AgencyName,AgencyType,UseCode,UseCode_2,UseType,UseDescription,RecDate,RecDocNo,OwnerName,SpecialName,MailStreet,MailAddress,MailCity,MailZip,Roll_Year,Roll_LandValue,Roll_ImpValue,Roll_PersPropValue,Roll_FixtureValue,Roll_HomeOwnersExemp,Roll_LandBaseYear,Roll_ImpBaseYear,LastSaleDate,Assr_Map,Assr_Index_Map,APN,A_ComRedevAg,B_DWP,C_GSDSurplus,D_CAO_Interim,E_PublicWorks,F_Surplus_Consol,G_Nona,H_Wilmington,Shape_Length,Shape_Area
137,Polygon,7424014917,7424-014-917,236000,L A City,LA City,300V,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20070110,7424-014,7424-NDX,7424014917,1,0,0,0,0,0,0,0,288.023736,2975.5846
138,Polygon,7424014906,7424-014-906,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014906,1,0,0,0,0,0,0,0,360.011371,3875.83815
139,Polygon,7424014914,7424-014-914,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014914,1,0,0,0,0,0,0,0,288.023751,2975.08555
140,Polygon,7424014916,7424-014-916,236000,L A City,LA City,300V,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20070314,7424-014,7424-NDX,7424014916,1,0,0,0,0,0,0,0,288.002538,2974.321551
141,Polygon,7424014909,7424-014-909,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014909,1,0,0,0,0,0,0,0,288.013138,2975.422151
142,Polygon,7424014905,7424-014-905,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014905,1,0,0,0,0,0,0,0,360.011369,3875.135099
143,Polygon,7424014903,7424-014-903,236900,Community Redevelopment Agency of L A City,LA City,300X,30,Industrial,Industrial,20061106,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,SPRING ST,354 S SPRING ST   700,LOS ANGELES CA,90013-1239,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20000526,7424-014,7424-NDX,7424014903,1,0,0,0,0,0,0,0,360.011373,3875.135099
144,Polygon,7424014908,7424-014-908,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014908,1,0,0,0,0,0,0,0,288.011886,2974.9077
145,Polygon,7424014910,7424-014-910,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014910,1,0,0,0,0,0,0,0,288.023752,2976.0237
146,Polygon,7424014911,7424-014-911,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014911,1,0,0,0,0,0,0,0,288.002538,2974.321549
147,Polygon,7424014913,7424-014-913,236000,L A City,LA City,300V,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014913,1,0,0,0,0,0,0,0,288.023767,2975.52465
148,Polygon,7424014912,7424-014-912,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014912,1,0,0,0,0,0,0,0,288.023736,2975.584601
149,Polygon,7424014915,7424-014-915,236000,L A City,LA City,300V,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20070314,7424-014,7424-NDX,7424014915,1,0,0,0,0,0,0,0,288.042446,2976.257849
150,Polygon,7424014904,7424-014-904,236000,L A City,LA City,300X,30,Industrial,Industrial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20050907,7424-014,7424-NDX,7424014904,1,0,0,0,0,0,0,0,360.021984,3875.3077
151,Polygon,7424014902,7424-014-902,236900,Community Redevelopment Agency of L A City,LA City,300X,30,Industrial,Industrial,20061106,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,SPRING ST,354 S SPRING ST   700,LOS ANGELES CA,90013-1239,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20000526,7424-014,7424-NDX,7424014902,1,0,0,0,0,0,0,0,360.01262,3875.839651
152,Polygon,7448008900,7448-008-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7448-008,7448-NDX,7448008900,0,0,1,0,0,0,0,0,103.191562,541.3514
153,Polygon,7424014901,7424-014-901,236900,Community Redevelopment Agency of L A City,LA City,300X,30,Industrial,Industrial,20061106,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,SPRING ST,354 S SPRING ST   700,LOS ANGELES CA,90013-1239,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,20000526,7424-014,7424-NDX,7424014901,1,0,0,0,0,0,0,0,360.032564,3876.697999
154,Polygon,7424017905,7424-017-905,236000,L A City,LA City,830V,83,Miscellaneous,Petroleum & Gas,19840918,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7424-017,7424-NDX,7424017905,0,0,1,0,0,0,0,0,10.308224,4.92945
155,Polygon,7424017903,7424-017-903,236000,L A City,LA City,880V,88,Government,Government Parcel,19850731,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7424-017,7424-NDX,7424017903,0,0,0,1,0,1,0,0,237.867742,2229.924031
156,Polygon,7424024901,7424-024-901,236000,L A City,LA City,8800,88,Government,Government Parcel,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY,C/O CHRISTINE ESSEL,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7424-024,7424-NDX,7424024901,1,0,0,0,0,0,1,0,494.839667,14324.1828
157,Polygon,7424025900,7424-025-900,236900,Community Redevelopment Agency of L A City,LA City,8800,88,Government,Government Parcel,19860826,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,SPRING ST,354 S SPRING ST   STE  800,LOS ANGELES CA,90013-1239,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,19680402,7424-025,7424-NDX,7424025900,1,0,0,0,0,0,0,0,399.706473,6374.8916
158,Polygon,7456012900,7456-012-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19450803,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7456-012,7456-NDX,7456012900,0,0,0,1,0,1,0,0,290.027041,1350.342
159,Polygon,7351034901,7351-034-901,236920,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19750000,<Null>,L A CITY DEPT OF WATER AND POWER, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7351-034,7351-NDX,7351034901,0,1,0,0,0,0,0,0,5364.074352,258205.768
160,Polygon,7465006900,7465-006-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19571031,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7465-006,7465-NDX,7465006900,0,0,1,0,0,0,0,0,289.955225,2409.2383
161,Polygon,7351019904,7351-019-904,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19730000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7351-019,7351-NDX,7351019904,0,1,0,0,0,0,0,0,2943.06216,125918.1275
162,Polygon,7454034901,7454-034-901,236000,L A City,LA City,100,1,Residential,Single,19780404,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7454-034,7454-NDX,7454034901,0,0,0,0,0,0,1,0,306.98775,4648.881549
163,Polygon,7351033900,7351-033-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL ESTATE BUS GROUP-JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7351-033,7351-NDX,7351033900,0,1,0,0,0,0,0,0,2663.9748,123195.744
164,Polygon,7351033270,7351-033-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,32720,0,0,0,0,1978,1978,0,7351-033,7351-NDX,7351033270,0,1,0,0,0,0,0,0,476.621429,13902.3332
165,Polygon,7562002901,7562-002-901,236009,L A City S by S,LA City,8800,88,Government,Government Parcel,19690923,<Null>,L A CITY S BY S, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7562-002,7562-NDX,7562002901,0,0,1,0,0,0,0,0,271.664378,1871.401441
166,Polygon,6134010271,6134-010-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,11653,0,0,0,0,1978,1978,0,6134-010,6134-NDX,6134010271,0,1,0,0,0,0,0,0,321.641812,3914.96775
167,Polygon,6134010270,6134-010-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CS,90051-0100,2013,11653,0,0,0,0,1978,1978,0,6134-010,6134-NDX,6134010270,0,1,0,0,0,0,0,0,320.063756,3900.3157
168,Polygon,6139028270,6139-028-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,216363,0,0,0,0,1978,1978,0,6139-028,6139-NDX,6139028270,0,1,0,0,0,0,0,0,3097.283533,144784.5151
169,Polygon,6139030270,6139-030-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,122800,0,0,0,0,1978,1978,0,6139-030,6139-NDX,6139030270,0,1,0,0,0,0,0,0,1623.930861,71210.98943
170,Polygon,6120023033,6120-023-033,0,<Null>,<Null>,300V,30,Industrial,Industrial,20031007,2979100,"TAMAE,ROBERT", ,STEVENS ST,17019 STEVENS ST,GARDENA CA,90247,2013,270170,0,0,0,0,2004,2004,20031007,6120-023,6120-NDX,6120023033,0,0,0,0,0,0,1,0,551.470739,19417.29876
171,Polygon,6140002271,6140-002-271,236924,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19740000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES   CA,90051-0100,2013,19835,0,0,0,0,1978,1978,0,6140-002,6140-NDX,6140002271,0,1,0,0,0,0,0,0,1461.988375,60437.32451
172,Polygon,6134013270,6134-013-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,11653,0,0,0,0,1978,1978,0,6134-013,6134-NDX,6134013270,0,1,0,0,0,0,0,0,317.529824,3868.9118
173,Polygon,6134013271,6134-013-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,11653,0,0,0,0,1978,1978,0,6134-013,6134-NDX,6134013271,0,1,0,0,0,0,0,0,317.24875,3849.847599
174,Polygon,7238030274,7238-030-274,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19630123,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,2013,0,0,0,0,1978,1978,0,7238-030,7238-NDX,7238030274,0,1,0,0,0,0,0,0,1253.70117,48965.53803
175,Polygon,6120023908,6120-023-908,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-023,6120-NDX,6120023908,0,1,0,0,0,0,0,0,1409.506976,51667.36525
176,Polygon,6120024900,6120-024-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19730000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-024,6120-NDX,6120024900,0,1,0,0,0,0,0,0,1422.218826,61870.69833
177,Polygon,6120023910,6120-023-910,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19891030,<Null>,L A CITY DEPT OF WATER AND POWER, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-023,6120-NDX,6120023910,0,1,0,0,0,0,0,0,1404.219335,56944.65834
178,Polygon,6134015270,6134-015-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,11653,0,0,0,0,1978,1978,0,6134-015,6134-NDX,6134015270,0,1,0,0,0,0,0,0,317.439401,3862.98765
179,Polygon,6140005270,6140-005-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,149706,0,0,0,0,1978,1978,0,6140-005,6140-NDX,6140005270,0,1,0,0,0,0,0,0,1277.218532,44612.20927
180,Polygon,6134015271,6134-015-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,1700,0,0,0,0,1978,1978,0,6134-015,6134-NDX,6134015271,0,1,0,0,0,0,0,0,317.46079,3862.691351
181,Polygon,6140006270,6140-006-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,70158,0,0,0,0,1978,1978,0,6140-006,6140-NDX,6140006270,0,1,0,0,0,0,0,0,723.218577,23590.41199
182,Polygon,6140007270,6140-007-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,104083,0,0,0,0,1978,1978,0,6140-007,6140-NDX,6140007270,0,1,0,0,0,0,0,0,1233.877976,49269.69099
183,Polygon,6134016271,6134-016-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,1700,0,0,0,0,1978,1978,0,6134-016,6134-NDX,6134016271,0,1,0,0,0,0,0,0,317.450982,3862.400901
184,Polygon,6134016270,6134-016-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,1700,0,0,0,0,1978,1978,0,6134-016,6134-NDX,6134016270,0,1,0,0,0,0,0,0,317.431514,3862.363801
185,Polygon,6120025900,6120-025-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19730000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-025,6120-NDX,6120025900,0,1,0,0,0,0,0,0,1440.426007,62968.51935
186,Polygon,6121002901,6121-002-901,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6121-002,6121-NDX,6121002901,0,1,0,0,0,0,0,0,2185.532275,59145.40239
187,Polygon,6120027901,6120-027-901,236920,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19750101,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-027,6120-NDX,6120027901,0,1,0,0,0,0,0,0,660.522593,11320.77445
188,Polygon,6121001901,6121-001-901,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6121-001,6121-NDX,6121001901,0,1,0,0,0,0,0,0,815.901328,31401.76776
189,Polygon,6121001904,6121-001-904,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6121-001,6121-NDX,6121001904,0,1,0,0,0,0,0,0,262.624611,2400.639516
190,Polygon,6120026902,6120-026-902,236920,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19750101,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6120-026,6120-NDX,6120026902,0,1,0,0,0,0,0,0,1443.027116,61331.58124
191,Polygon,6121003902,6121-003-902,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6121-003,6121-NDX,6121003902,0,1,0,0,0,0,0,0,1134.724688,46889.50769
192,Polygon,6121004901,6121-004-901,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19650000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6121-004,6121-NDX,6121004901,0,1,0,0,0,0,0,0,1778.381106,65840.37992
193,Polygon,6134039270,6134-039-270,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,280711,0,0,0,0,1978,1978,0,6134-039,6134-NDX,6134039270,0,1,0,0,0,0,0,0,2249.556861,96583.02667
194,Polygon,6137008270,6137-008-270,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,21013,0,0,0,0,1978,1978,0,6137-008,6137-NDX,6137008270,0,1,0,0,0,0,0,0,341.262181,7004.876206
195,Polygon,6137008271,6137-008-271,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,111095,0,0,0,0,1978,1978,0,6137-008,6137-NDX,6137008271,0,1,0,0,0,0,0,0,1081.743453,31029.71684
196,Polygon,6140038270,6140-038-270,236924,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19740000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,31545,0,0,0,0,1978,1978,0,6140-038,6140-NDX,6140038270,0,1,0,0,0,0,0,0,2156.673138,98344.1432
197,Polygon,7319004273,7319-004-273,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19740603,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,39732,0,0,0,0,1978,1978,0,7319-004,7319-NDX,7319004273,0,1,0,0,0,0,0,0,1405.348503,54432.23628
198,Polygon,7319004274,7319-004-274,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19740603,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,3662,0,0,0,0,1978,1978,0,7319-004,7319-NDX,7319004274,0,1,0,0,0,0,0,0,1768.058701,12922.5166
199,Polygon,6236028270,6236-028-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,52616,0,0,0,0,1978,1978,0,6236-028,6236-NDX,6236028270,0,1,0,0,0,0,0,0,1332.682619,55857.99997
200,Polygon,6236028271,6236-028-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,134466,0,0,0,0,1978,1978,0,6236-028,6236-NDX,6236028271,0,1,0,0,0,0,0,0,2989.915799,144426.7705
201,Polygon,6132004900,6132-004-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6132-004,6132-NDX,6132004900,0,1,0,0,0,0,0,0,2759.387799,127915.275
202,Polygon,6132005900,6132-005-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6132-005,6132-NDX,6132005900,0,1,0,0,0,0,0,0,2758.532325,128058.724
203,Polygon,6132008004,6132-008-004,0,<Null>,<Null>,300V,30,Industrial,Industrial,20080724,1322238,FIRST INDUSTRIAL LP, ,SEPULVEDA BLVD,898 N SEPULVEDA BLVD   STE 750,EL SEGUNDO CA,90245-2747,2013,295464,0,0,0,0,2008,2008,20070919,6132-008,6132-NDX,6132008004,0,0,0,0,0,0,1,0,379.005216,8952.79285
204,Polygon,6132006900,6132-006-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6132-006,6132-NDX,6132006900,0,1,0,0,0,0,0,0,2816.595553,120829.0353
