row,Park Property,Sub-Park Name,Address,City,Zip,Rgn.,CD 1,CD 2,CD 3,Acreage,Sub Acreage,Board Report #,Acquisition Date,Thomas Guide,Former/Alternate Name,A.P.N.,Comments,Part ofÃ‰,compiled_address,compiled_lat,compiled_lng
271,LINCOLN PARK,,3501 E. VALLEY BLVD.,,,M,1,,,42.81,,,,635-B2,,,,,"3501 Valley Blvd, Pomona, CA 91768, USA",34.0486227,-117.8123093
272,LINDSAY (GILBERT W.) COMMUNITY CENTER,,429 E. 42ND PLACE,,,P,9,,,14.62,,,,674-D3,,,,,"429 E 42nd Pl, Los Angeles, CA 90011, USA",34.0069012,-118.2657956
273,LITTLE GREEN ACRES PARK,,10420 S. VERMONT AVE.,,,P,8,,,0.23,,,,704-A5,,,,,"10420 S Vermont Ave, Los Angeles, CA 90044, USA",33.941726,-118.291268
274,LITTLE LANDERS PARK,,10110 N. COMMERCE AVE.,,,V,7,,,1.14,,,,504-A4,,,,,"10110 N Commerce Ave, Moorpark, CA 93021, USA",34.2836007,-118.8989317
275,LOOKOUT POINT PARK,,3400 N. GAFFEY ST.,,,P,15,,,1.39,,,,854-B2,,,,,"3400 N Gaffey St, San Pedro, CA 90731, USA",33.7812375,-118.2969864
276,LOS ANGELES CENTER FOR ENRICHED STUDIES (LACES),,5931 W. 18TH STREET,,,W,10,,,7.41,,,,633-A5,,,,,"5931 W 18th St, Kearney, NE 68847, USA",40.6923319,-99.1577293
278,LOUISE PARK,,7140 N. LOUISE AVE.,,,V,6,,,6.48,,,,531-C5,,,,,"7140 N Louise Ave, Sioux Falls, SD 57107, USA",43.5866316,-96.7759281
279,"LUMMIS (CHARLES F.) HOME, ""EL ALISAL""",,200 E. AVENUE 43,,,M,1,,,1.75,,,,595-B5,,,,,"200 43rd Ave NE, Bowdon, ND 58418, USA",47.4432928,-99.6288244
280,MacARTHUR (GEN. DOUGLAS)   PARK,,2230 W. 6th STREET.,,,M,1,,,29.87,,,,634-C3,,,,,"2230 W 6th St, Lawrence, KS 66049, USA",38.9724548,-95.2622067
281,McKINLEY AVENUE,,4916 S. McKINLEY AVE.,,,G,9,,,0.11,,,,674-E4,,,,,"4916 S McKinley Ave, Oklahoma City, OK 73109, USA",35.4166931,-97.5369914
282,MADISON WEST PARK ,,464 N. MADISON AVE. ,,,M,13,,,0.52,,,,594-A7,,,,,"464 N Madison Ave, Douglas, GA 31533, USA",31.5128191,-82.8493739
283,MAHOOD (FELICIA) MULTIPURPOSE CENTER,,11338 SANTA MONICA BLVD.,,,W,11,,,4.32,,,,632-A5,,,,,"11338 Santa Monica Blvd, Los Angeles, CA 90025, USA",34.0458408,-118.4496744
284,MALLOY (KEN) HARBOR REGIONAL PARK,,25820 S. VERMONT AVE.,,,P,15,,,290.87,,,,794-A6,,,,,"25820 S Vermont Ave, Harbor City, CA 90710, USA",33.7822811,-118.2974656
285,* Sub-Park (Malloy (Ken) Harbor Reg Park),HARBOR PARK GOLF COURSE,1235 N. FIGUEROA PL.,,,P,15,,,,64.78,,,794-C5,,,,,"1235 Figueroa Pl, Wilmington, CA 90744, USA",33.7827262,-118.2812491
286,MANDEVILLE CANYON PARK,,2660 N. WESTRIDGE RD.,,,P,11,,,131.2,,,,591-C7,,,,,"2660 Westridge Rd, Los Angeles, CA 90049, USA",34.0853576,-118.5089102
287,MAR VISTA GARDENS RECREATION CENTER,,4901 S. MARIONWOOD DR,,,P,11,,,4.82,,,,672-E5,,,,,"4901 Marionwood Dr, Los Angeles, CA 90230, USA",33.9933752,-118.4096912
288,MAR VISTA RECREATION CENTER,,11430 W. WOODBINE AVE,,,P,11,,,18.51,,,,672-C2,,,,,"W Woodbine Ave, Kirkwood, MO 63122, USA",38.5742707,-90.4238909
291,MARSON PARK,,15262 MARSON ST.,,,V,6,,,0.29,,,,531-H3,,,,,"15262 Marson St, Van Nuys, CA 91402, USA",34.216233,-118.4658904
292,MASCOT TRIANGLE,,INTERSECTION OF MASCOT & PICKFORD STS.,,,M,10,,,0.17,,,,633-D5,,,,,"Pickford St & Mascot St, Los Angeles, CA 90019, USA",34.0408306,-118.3407867
293,MASON PARK,,10500 N. MASON AVE.,,,V,12,,,17.07,,,,500-D3,,,,,"10500 N Mason Ave, Chicago, IL 60646, USA",42.0118891,-87.7742081
294,McGROARTY CULTURAL ART CENTER,,7570 W. McGROARTY TERRACE,,,V,7,,,16.89,,,,503-J5,,,,,"7570 McGroarty Terrace, Tujunga, CA 91042, USA",34.2498568,-118.2977556
296,MECCA AVENUE PARK,,5250 N. MECCA AVE.,,,V,3,,,0.1,,,,560-J2,,,,,"5250 Mecca Ave, Tarzana, CA 91356, USA",34.1669388,-118.5375251
297,MEDIA PARK,,9070 W. VENICE BLVD.,,,W,5,,,1.08,,,,672-G1,,,,,"9070 Venice Blvd, Culver City, CA 90232, USA",34.0266908,-118.3928737
298,MID-VALLEY SENIOR CITIZEN CENTER (SITE),,9540 N. VAN NUYS BLVD.,,,V,6,,,2.66,,,,501-J5,,,,,"9540 Van Nuys Blvd, Panorama City, CA 91402, USA",34.243862,-118.449113
299,MILLER (LOREN) RECREATION CENTER,,2717 S. HALLDALE AVE.,,,P,8,,,2.42,,,,633-J7,,,,,"2717 S Halldale Ave, Los Angeles, CA 90018, USA",34.030323,-118.303155
300,MONTECITO HEIGHTS RECREATION CENTER,,4545 N. HOMER ST.,,,M,1,,,22.53,,,,595-B5,,,,,"4545 W Homer St, Chicago, IL 60639, USA",41.915821,-87.7405689
301,MOON CANYON PARK,,911 N. MUSEUM DR.,,,M,1,,,4.49,,,,595-A3,,,,,"911 N Museum Dr, Cartersville, GA 30120, USA",34.1681607,-84.796619
302,MOONSHINE CANYON PARK,,19900 W. SESNON BLVD.                                                  ,,,V,12,,,25.88,,,,480-E7,,,,,"19900 Sesnon Blvd, Porter Ranch, CA 91326, USA",34.2935755,-118.5705223
303,MOORPARK PARK,,12061 W. MOORPARK ST.,,,V,2,,,3.22,,,,562-G4,,,,,"12061 Moorpark St, Studio City, CA 91604, USA",34.1503722,-118.3959506
304,MOUNT CARMEL RECREATION CENTER,,830 W. 70TH ST.,,,P,8,,,3.41,,,,674-B7,,,,,"830 W 70th St, Shreveport, LA 71106, USA",32.4419976,-93.7738708
305,MOUNT OLYMPUS PARK,,243 E. AVE. 33,,,M,1,,,8.91,,,,595-A6,,,,,"243 33rd Ave NE, Hickory, NC 28601, USA",35.7764261,-81.324035
306,MULHOLLAND VIEW SITE NO. 16,,MULHOLLAND DRIVE & PARK LANE CIRCLE ,,,V,5,,,0.21,,,,561-E7,,,,,"Mulholland Dr & Park Ln Cir, Los Angeles, CA 90049, USA",34.1305941,-118.4934557
307,NEVIN AVENUE PARK,,1527-1531 E. 32ND ST.,,,,9,,,0.26,,,,674-F2,,,,,"1531 E 32nd St, Joplin, MO 64804, USA",37.0555234,-94.4970059
308,NICKERSON (WILLIAM) GARDENS RECREATION CENTER,,11251 S. COMPTON AVE.,,,P,15,,,4.73,,,,704-G6,,,,,"11251 S Compton Ave, St Louis, MO 63111, USA",38.5614716,-90.2479838
309,NORMANDALE RECREATION CENTER,,22400 S. HALLDALE  AVE.,,,P,15,,,8.26,,,,764-A7,,,,,"S Halldale Ave, Los Angeles, CA, USA",33.9672995,-118.302461
310,NORMANDIE AND CORDOVA PARK,,1903 W. CORDOVA ST. ,,,,10,,,0.05,,,,633-J6,,,,,"1903 Cordova Ave, North College Hill, OH 45239, USA",39.2108293,-84.5575663
311,NORMANDIE RECREATION CENTER,,1550 S. NORMANDIE AVE.,,,M,1,,,3.27,,,,633-J5,,,,,"1550 S Normandie Ave, Los Angeles, CA 90006, USA",34.0448757,-118.2999736
312,NORTH EAST VALLEY MULTIPURPOSE CENTER,,11300 N. GLENOAKS BLVD.,,,V,7,,,2.07,,,,502-E1,,,,,"11300 N Glenoaks Blvd, Sun Valley, CA 91352, USA",34.2144738,-118.3499536
313,NORTH HILLS COMMUNITY PARK,,8756 N. PARTHENIA PL.,,,V,6,,,3.89,,,,501-H7,,,,,"8756 N Parthenia Pl, North Hills, CA 91343, USA",34.2292826,-118.465908
314,NORTH HOLLYWOOD PARK,,11430 W. CHANDLER BLVD.,,,V,2,,,55.6,,,,562-H2,,,,,"11430 W Chandler Blvd, Chandler, AZ 85226, USA",33.3054495,-111.9711803
315,* Sub-Park (North Hollywood Park),VALLEY VILLAGE PARK,500 WESTPARK DR.,,,V,2,,,,6.47,,,562-H3,,,,,"500 Westpark Dr, Peachtree City, GA 30269, USA",33.403148,-84.593667
316,NORTHRIDGE RECREATION CENTER,,10058 N. RESEDA BLVD.,,,V,12,,,24.02,,,,500-J5,,,,,"10058 Reseda Blvd, Northridge, CA 91324, USA",34.2531322,-118.5355894
317,NOWITA TRIANGLE,,NOWITA PLACE ,,,P,11,,,0.03,,,,671-J5,,,,,"Nowita Pl, Venice, CA 90291, USA",33.9964357,-118.4584111
318,OAKRIDGE RESIDENCE,,18650 W. DEVONSHIRE ST.,,,V,12,,,9.47,,,,500-H4,,,,,"18650 W Devonshire St, Chatsworth, CA 91311, USA",34.257347,-118.6132346
319,OAKWOOD RECREATION CENTER,,767 E. CALIFORNIA AVE.,,,P,11,,,3.63,,,,671-H5,,,,,"767 E California Ave, Bakersfield, CA 93307, USA",35.3683613,-118.9948615
321,OLD CYPRESS PARK LIBRARY,,3320 E. PEPPER AVE.,,,M,1,,,0.18,,,,594-J5,,,,,"3320 Pepper Ave, Los Angeles, CA 90065, USA",34.0909949,-118.2226555
322,OLD ENCINO FIRE STATION PROPERTY,,5001 N. BALBOA BLVD. ,,,V ,5,,,0.37,,,,561-D3,,,,,"5001 Balboa Blvd, Encino, CA 91316, USA",34.1618487,-118.5012359
323,OLD MISSION TRAIL,,10400 LIMEKILN CANYON RD. ,,,V,12,,,13.6,,,,500-D2,,,,,"10400 Limekiln Canyon Rd, Los Gatos, CA 95033, USA",37.2005617,-121.9812994
324,O'MELVENY PARK,,17300 W. SESNON BLVD.,,,V,12,,,695.71,,,,481-A3,,,,,"17300 Sesnon Blvd, Granada Hills, CA 91344, USA",34.3083571,-118.5106881
325,ORCHARD AVE POCKET PARK,,4600 S. ORCHARD AVE.,,,P,9,,,0.14,,,,674-B4,,,,,"4600 S Orchid Ave, Sioux Falls, SD 57110, USA",43.5081444,-96.6659327
326,ORCUTT RANCH  HORTICULTURAL CENTER,,23600 W. ROSCOE BLVD.,,,V,12,,,24.1,,,,529-F3,,,,,"23600 W Roscoe Blvd, Northridge, CA 91325, USA",34.2207672,-118.5178699
327,ORD AND YALE STREET PARK,,524 W. ORD STREET,,,M,1,,,0.242,,,,634-G2,,,,,"524 E Ord St, Laramie, WY 82070, USA",41.3042217,-105.5908061
328,ORO VISTA PARK,,11101 N. ORO VISTA AVE.,,,V,7,,,8.23,,,,503-G1,,,,,"11101 Oro Vista Ave, Sunland-Tujunga, CA 91040, USA",34.270733,-118.3159248
329,ORTHOPEDIC HOSPITAL UNIVERSAL ACCESS PLAYGROUND,,2400 S. FLOWER STREET,,,P,9,,,0.37,,,,634-C7,,,,,"2400 S Flower St, Santa Ana, CA 92707, USA",33.7142951,-117.8768512
330,OWENS (JESSE) MINI-PARK,,7100 N. WHITE OAK AVE.,,,V,6,,,1.59,,,,531-B5,,,,,"7100 White Oak Ave, Hammond, IN 46324, USA",41.5839654,-87.490566
331,PACIFIC REGION HQ.                            ,,"1670 W. PALOS VERDES DR., NORTH",,,P,15,,,2.62,,,,794-A6,,,,,"1670 Palos Verdes Dr N, Harbor City, CA 90710, USA",33.7794947,-118.3061947
333,PALISADES-ASILOMAR PARK,,15920 W. ASILOMAR BLVD.,,,P,11,,,1.44,,,,630-J6,,,,,"15920 Asilomar Blvd, Pacific Palisades, CA 90272, USA",34.0402261,-118.5365763
334,PALISADES PARK  (PACIFIC PALISADES),,15400 W. PACIFIC COAST HWY.      ,,,P,11,,,24.39,,,,631-A7,,,,,"15400 Pacific Coast Hwy, Huntington Beach, CA 92649, USA",33.7247382,-118.0776069
335,PALISADES PARK  (PORTER RANCH),,12100 N. TAMPA AVE.                         ,,,V,12,,,113.65,,,,480-G6,,,,,"12100 North Blvd, Tampa, FL 33612, USA",28.058099,-82.467599
336,PALISADES RECREATION CENTER,,851 N. ALMA REAL DR.,,,P,11,,,17.54,,,,631-A6,,,,,"851 Alma Real Dr, Pacific Palisades, CA 90272, USA",34.0421839,-118.5245609
337,PALMS RECREATION CENTER,,2950 S. OVERLAND AVE.,,,P,5,,,4.81,,,,632-E7,,,,,"2950 S Overland Ave, Juniata, NE 68955, USA",40.5447654,-98.6101156
338,PANORAMA CITY RECREATION CENTER,,8600 N. HAZELTINE AVE.,,,V,6,,,6,,,,532-B1,,,,,"8600 Hazeltine Ave, Panorama City, CA 91402, USA",34.2274846,-118.4416851
339,PAN PACIFIC PARK,,7600 W. BEVERLY BLVD.,,,M,4,,,32.18,,,,633-C1,,,,,"W Beverly Blvd, Montebello, CA 90640, USA",34.0201778,-118.1198643
340,PARKVIEW PHOTO CENTER,,2332 W. 4TH ST.,,,M,1,,,0.96,,,,634-C2,,,,,"2332 W 4th St, Colby, KS 67701, USA",39.3941859,-101.0767956
341,PARTHENIA PARK,,21444 PARTHENIA ST.,,,V,3,,,1.42,,,,530-A1,,,,,"21444 Parthenia St, Canoga Park, CA 91304, USA",34.2279529,-118.5991028
342,PATTON  STREET POCKET PARK  (formerly Old Echo Park Boys & Girls Club),,303-305 N. PATTON STREET,,,M,1,,,0.4,,,,634-E1,,,,,"305 N Patton St, Florence, AL 35630, USA",34.8138479,-87.6469052
343,PECAN RECREATION CENTER,,127 S. PECAN ST.,,,M,14,,,4.28,,,,634-J4,,,,,"127 S Pecan St, Bells, TX 75414, USA",33.6093628,-96.4106689
344,PECK PARK,,560 N. WESTERN AVE.,,,P,15,,,74.52,,,,823-J3,,,,,"560 N Western Ave, Peoria, IL 61604, USA",40.6941605,-89.6228584
345,PENMAR RECREATION CENTER,,1341 E. LAKE ST.,,,P,11,,,12.01,,,,671-J4,,,,,"1341 E Lake St, Horicon, WI 53032, USA",43.4462335,-88.6176614
346,PENMAR GOLF COURSE,,1233 E. ROSE AVE.,,,P,11,,,52.7,,,,671-J3,,,,,"1233 E Rose Ave, Fresno, CA 93725, USA",36.5691094,-119.7694732
347,PEPPER (CLAUDE) SENIOR CITIZEN CENTER,,1762 S. LA CIENEGA BLVD.,,,M,10,,,0.4,,,,632-J5,,,,,"1762 S La Cienega Blvd, Los Angeles, CA 90035, USA",34.0451871,-118.3763191
348,PERSHING SQUARE,,525 S. OLIVE ST.,,,M,14,,,4.44,,,,634-E4,,,,,"525 S Olive St, Pine Bluff, AR 71601, USA",34.2246147,-92.0076303
349,PICO UNION PARK,,1827 S. HOOVER ST.,,,M,1,,,0.72,,,,634-B5,,,,,"1827 S Hoover St, Los Angeles, CA 90006, USA",34.0411148,-118.2843339
350,PILSON PROPERTY,,19900 W. MULHOLLAND DR.,,,V,3,,,14.59,,,,560-F7,,,,,"19900 W Mulholland Dr, Woodland Hills, CA 91364, USA",34.1491674,-118.6126217
351,PLACITA DEL SEOUL,,CRA/LA,,,,10,,,0.5,,,,,,,,,"La Crí¢, 52160, France",47.752105,5.104062
352,POINSETTIA RECREATION CENTER,,7341 W. WILLOUGHBY AVE.,,,M,5,,,6.29,,,,593-C6,,,,,"7341 W Willoughby Ave, Los Angeles, CA 90046, USA",34.0871188,-118.3462336
353,POINT FERMIN PARK,,807 W. PASEO DEL MAR,,,P,15,,,39.13,,,,854-A2,,,,,"807 W Paseo Del Mar, San Pedro, CA 90731, USA",33.7069572,-118.2934607
354,PORTER RANCH PARK,,11000 N. TAMPA AVE.,,,V,12,,,40.96,,,,500-F2,,,,,"11000 North Blvd, Tampa, FL 33612, USA",28.0509887,-82.4676492
355,PORTER RANCH-SESNON PROPERTY,,11811 N. PORTER RANCH DRIVE,,,V,12,,,50.11,,,,480-D6,,,,,"11811 Valley Ranch Crossing Dr, Porter, TX 77365, USA",30.1220149,-95.2365158
356,PORTER RIDGE PARK,,18799 W. SESNON BLVD.,,,V,12,,,17.78,,,,480-H5,,,,,"18799 Sesnon Blvd, Porter Ranch, CA 91326, USA",34.2959386,-118.543111
357,POTRERO CANYON PARK,,15125 W. PACIFIC COAST HWY.              ,,,P,11,,,35.49,,,,631-A6,,,,,"15125 Pacific Coast Hwy, Dana Point, CA 92629, USA",33.4903589,-117.7314523
358,POTTER (BENNY H.) WEST ADAMS AVENUES MEMORIAL PARK,,2413 S. 2ND AVE.,,,M,10,,,1.6,,,,633-G6,,,,,"2413 S 2nd Ave, Hartselle, AL 35640, USA",34.4141898,-86.9220281
359,PROSPECT PARK,,612 N. ECHANDIA ST.,,,M,14,,,2.71,,,,635-A3,,,,,"612 Echandia St, Los Angeles, CA 90033, USA",34.0530164,-118.2177842
360,PUEBLO DEL RIO RECREATION CENTER,,5350 N. ALBA ST.,,,P,9,,,0.54,,,,674-G4,,,,,"5350 W Alba St, Bayou La Batre, AL 36509, USA",30.3972482,-88.2479675
361,QUEEN ANNE RECREATION CENTER,,1240 S. WEST BLVD.,,,M,10,,,5.23,,,,633-E4,,,,,"1240 S W Blvd, Elkhart, IN 46514, USA",41.6782011,-85.9954251
362,QUIMBY (JOHN) PARK,,7008 N. DESOTO AVE.,,,V,3,,,3.82,,,,530-C5,,,,,"N Desoto Ave, Arcadia, FL 34266, USA",27.2183996,-81.8589254
363,RADFORD (CAMP),,"3250 RADFORD RIVER RD. (ANGELUS OAKS, CA 92305)",,,,NA,,,83.69,,,,,,,,,"3250 Radford River Rd, Angelus Oaks, CA 92305, USA",34.1972959,-116.9172859
364,RAMONA GARDENS RECREATION CENTER,,2830 E. LANCASTER AVE.,,,M,14,,,6.4,,,,635-C3,,,,,"2830 E Lancaster Ave, Fort Worth, TX 76103, USA",32.7411873,-97.2847032
365,* Sub-Park (Ramona Gardens Rec Ctr),ALVAREZ (HENRY)                 MEMORIAL PARK,2830 LANCASTER AVE.,,,M,14,,,,2.56,,,635-C3,,,,,"2830 Lancaster Ave, Wilmington, DE 19805, USA",39.7505328,-75.5836953
366,* Sub-Park (Ramona Gardens Rec Ctr),RAMONA GARDENS PARK,2800 S. FLOWER ST. ,,,,9,,,,2.1,,,634-C7,,,,,"2800 S Flower St, Santa Ana, CA 92707, USA",33.7090492,-117.8769048
367,RAMONA HALL COMMUNITY CENTER ,,4580 N. FIGUEROA ST.,,,M,1,,,1.43,,,,595-B4,,,,,"4580 N Figueroa St, Los Angeles, CA 90065, USA",34.0978377,-118.2052603
368,RANCHO CIENEGA SPORTS COMPLEX ,,5001 W. RODEO RD.,,,W,10,,,28.97,,,,673-C1,,,,,"5001 W Rodeo Rd, Los Angeles, CA 90016, USA",34.0213484,-118.3468027
369,RENA PARK,,510 N. LELAND AVE.,,,P,15,,,1.28,,,,824-A4,,,,,"510 N Leland Ave, Indianapolis, IN 46219, USA",39.7750562,-86.0811487
370,RESEDA PARK,,18411 W. VICTORY BLVD.,,,V,3,,,29.68,,,,530-J7,,,,,"18411 W Victory Blvd, Reseda, CA 91335, USA",34.1868286,-118.5254646
371,REYNIER PARK,,2803 S. REYNIER AVE.,,,P,10,,,1.03,,,,632-H6,,,,,"2803 Reynier Ave, Los Angeles, CA 90034, USA",34.0357973,-118.3859926
372,RICHARDSON FAMILY PARK (ELINOR AND DON),,2700 S. BUDLONG AVE.,,,P,8,,,0.32,,,,634-A7,,,,,"2700 S Budlong Ave, Los Angeles, CA 90007, USA",34.030215,-118.295632
373,RINALDI PARK,,18501 W. RINALDI ST.,,,V,12,,,0.08,,,,500-H1,,,,,"18501 Rinaldi St, Porter Ranch, CA 91326, USA",34.2760505,-118.5364478
374,RIO DE LOS ANGELES STATE PARK ,,1900 N. SAN FERNANDO ROAD,,,M,1,,,39.39,,,,594-G4,,,,,"1900 N San Fernando Rd, Los Angeles, CA 90065, USA",34.1000704,-118.235828
375,RIVAS CANYON PARK,,E. END OF ORACLE PLACE,,,P,11,,,25.76,,,,631-B3,,,,,"Oracle Pkwy, Earley, Reading, Wokingham RG6 1RA, UK",51.4599692,-0.9377136
376,ROBERT F. KENNEDY INSPIRATION PARK ,,3400 W. WILSHIRE BLVD,,,M,10,,,0.43,,,,633-J2,,,,,"3400 W Wilshire Blvd, Oklahoma City, OK 73116, USA",35.5510907,-97.5757789
377,ROBERTS (ELEANOR GREEN) AQUATIC CENTER,,4526 W. PICO BLVD.,,,M,10,,,0.75,,,,633-E4,,,,,"4526 West Pico Boulevard, Los Angeles, CA 90019, USA",34.0484291,-118.3344805
378,ROBERTS (FRED) RECREATION CENTER,,4700 S. HONDURAS ST.,,,P,9,,,2.9,,,,674-G4,,,,,"4700 Honduras St, Los Angeles, CA 90011, USA",34.0007283,-118.2439266
379,ROBERTSON RECREATION CENTER,,1641 S. PREUSS RD.,,,P,5,,,1.24,,,,632-H4,,,,,"1641 S Preuss Rd, Los Angeles, CA 90035, USA",34.0464474,-118.385138
380,ROCKWOOD COMMUNITY PARK,,1571 W. ROCKWOOD ST. ,,,M,13,,,0.43,,,,634-D2,,,,,"1571 W Rockwood St, Springfield, MO 65807, USA",37.1544762,-93.3088638
381,RODRIGUEZ (SEILY) PARK ,,5707 W. LEXINGTON AVE.,,,M,13,,,0.34,,,,593-H5,,,,,"5707 W Lexington Ave, Winchester, KY 40391, USA",38.0253069,-84.2690897
382,ROOSEVELT HIGH SCHOOL POOL,,456 S. MATHEWS ST.,,,M,14,,,1.49,,,,635-A5,,,,,"456 S Mathews St, Los Angeles, CA 90033, USA",34.0374757,-118.2118564
383,ROSCOE-VALLEY CIRCLE PARK,,24116 W. DE QUINCY COURT,,,V,12,,,44.35,,,,529-E3,,,,,"Quincy Dr, Wilmington, DE 19803, USA",39.7939868,-75.4961821
384,ROSE HILL RECREATION CENTER,,4530 E. MERCURY AVE.,,,M,14,,,2.26,,,,595-D6,,,,,"4530 Mercury Ave, Los Angeles, CA 90032, USA",34.0857302,-118.1900277
385,ROSECRANS RECREATION CENTER,,840 W. 149TH ST.,,,P,15,,,10.55,,,,734-B4,,,,,"840 W 149th St, Gardena, CA 90247, USA",33.8963037,-118.2899172
386,ROSEWOOD GARDENS,,7811 W. ROSEWOOD AVE.,,,M,5,,,0.11,,,,593-B7,UNTIL 5-97 CALLED ROSEWOOD PARK,,,,"7811 W Rosewood Ave, Spokane, WA 99208, USA",47.7158055,-117.4909784
387,RUNNYMEDE PARK,,20200 W. RUNNYMEDE  ST.                      ,,,V,3,,,5.93,,,,530-D4,,,,,"20200 Runnymede St, Winnetka, CA 91306, USA",34.2059038,-118.5733348
388,RUNYON CANYON PARK                     ,,2000 N. FULLER AVE,,,L,4,,,136.76,,,,593-C3,,,,,"2000 N Fuller Ave, Los Angeles, CA 90046, USA",34.1053858,-118.3491574
389,RUSTIC CANYON PARK,,SW OF SULLIVAN FIRE RD.,,,P,11,,,44.69,,,,631-C2,,,,,"Schieffelin Point Rd, Sullivan, ME 04664, USA",44.4845318,-68.1336496
390,RUSTIC CANYON RECREATION CENTER,,601 N. LATIMER RD.,,,P,11,,,8.95,,,,631-C6,,,,,"601 Latimer Rd, Raleigh, NC 27609, USA",35.8426826,-78.631224
391,SAINT ANDREWS RECREATION CENTER,,8701 S. SAINT ANDREWS PL.,,,P,8,,,8.58,,,,703-H3,,,,,"8701 S St Andrews Pl, Los Angeles, CA 90047, USA",33.9590948,-118.3114844
392,SAINT JAMES PARK,,20 S. ST. JAMES PARK,,,M,1,,,0.9,,,,634-C7,,,,,"20 Park Ave, St James, NY 11780, USA",40.871477,-73.153449
393,SAN JUAN GARAGE,,215-217 E. SAN JUAN AVE.,,,L,11,,,0.12,,,,671-H6,,,,,"217 E San Juan Ave, Gunnison, CO 81230, USA",38.5410723,-106.9254559
394,SAN JULIAN PARK,,312 E. 5TH STREET,,,M,14,,,0.29,,,,634-F5,,,,,"312 E 5th St, Plainview, TX 79072, USA",34.1845876,-101.6994951
395,SAN PEDRO PLAZA PARK,,700 S. BEACON ST.,,,P,15,,,3.51,,,,824-C5,,,,,"700 S Beacon St, Dallas, TX 75223, USA",32.797444,-96.751204
396,SAN PEDRO WELCOME PARK,,351 N. GAFFEY ST.,,,P,15,,,0.4,,,,824-B4,,,,,"351 N Gaffey St, San Pedro, CA 90731, USA",33.746053,-118.292656
397,SAN VICENTE MOUNTAIN PARK,,17500 W. MULHOLLAND DR.,,,P,11,,,31.45,,,,591-B1,,,,,"17500 W Mulholland Dr, Woodland Hills, CA 91364, USA",34.1491674,-118.6126217
398,SANTA YNEZ CANYON PARK,,1100 N. PALISADES DR.                             ,,,P,11,,,337.84,,,,630-F2,,,,,"1100 N Palisades Dr, Signal Mountain, TN 37377, USA",35.1315279,-85.3227163
399,SCHACHTER (IRVING) PARK,,2599 S. BEVERWIL DR.,,,W,5,,,0.31,,,,632-G6,,,,,"2599 Beverwil Dr, Los Angeles, CA 90064, USA",34.0394285,-118.399181
400,SEELY (CAMP),,250 N. HWY. 138        (CRESTLINE),,,,NA,,,12.9,,,,,,,,,"250 CA-138, Crestline, CA 92325, USA",34.255168,-117.3043942
401,SELMA PARK,,6567 W. SELMA AVE.,,,M,13,,,0.22,,,,593-E4,,,,,"6567 W Selma Ave, Summit, IL 60501, USA",41.7961001,-87.8064686
402,SEOUL INTERNATIONAL PARK,,3250 W. SAN MARINO ST.,,,M,10,,,3.47,,,,633-J3,,,,,"3250 San Marino St, Los Angeles, CA 90006, USA",34.0542408,-118.3017448
403,SEPULVEDA BASIN RECREATION AREA,,17017 W. BURBANK BLVD.,,,V,6,,,1538.6,,,,531-C7,,,,,"17017 W Burbank Blvd, Woodland Hills, CA 91367, USA",34.1723131,-118.6442436
404,* Sub-Park (Sepulveda Basin Rec Area),BALBOA 18-HOLE GOLF COURSE (Sepulveda Golf Complex),16821 W. BURBANK BLVD.,,,V,6,,,,152.66,,,561-D1,,,,,"16821 W Burbank Blvd, Woodland Hills, CA 91367, USA",34.1723131,-118.6442436
405,* Sub-Park (Sepulveda Basin Rec Area),ENCINO 18-HOLE GOLF COURSE (Sepulveda Golf Complex),16821 BURBANK BLVD.,,,V,6,,,,168.01,,,561-E2,,,,,"16821 Burbank Blvd, Encino, CA 91436, USA",34.1702607,-118.4972498
406,* Sub-Park (Sepulveda Basin Rec Area),ENCINO PARK AND RIDE,5174 N. HAYVENHURST AVENUE,,,V,5,,,,1.55,,,561-E3,,,,,"5174 Hayvenhurst Ave, Encino, CA 91436, USA",34.1641322,-118.4923377
407,* Sub-Park (Sepulveda Basin Rec Area),LIBBIT PARK,5101 N. LIBBIT AVE.,,,V,5,,,,24.51,,,561-E3,,,,,"5101 Libbit Ave, Encino, CA 91436, USA",34.1646102,-118.4880329
408,* Sub-Park (Sepulveda Basin Rec Area),WOODLEY AVENUE PARK,6350 N. WOODLEY AVE.                            ,,,V,6,,,,109.66,,,531-F7,,,,,"6350 Woodley Ave, Van Nuys, CA 91436, USA",34.1786563,-118.4764638
409,* Sub-Park (Sepulveda Basin Rec Area),WOODLEY LAKES GOLF COURSE,6331 N. WOODLEY AVE.,,,V,6,,,,238.89,,,531-E7,,,,,"6331 Woodley Ave, Van Nuys, CA 91406, USA",34.1832479,-118.4919777
410,* Sub-Park (Sepulveda Basin Rec Area),BEILENSON (ANTHONY C.) PARK,6200 N. BALBOA BLVD.,,,V,6,,,,169.24,,,561-D1,,2255-023-900,"In Sep. Dam RECREATION Area INC. ""Lake Balboa""",,"6200 N Balboa Blvd, Granada Hills, CA 91344, USA",34.2539172,-118.5023479
